['--model', 'complex', '--data', 'covid', '--loss', 'pw_logistic', '--epochs', '600', '--learning-rate', '0.278', '--batch-size', '2048', '--reg-weight', '7.01e-08', '--embedding-size', '200', '--nb-negs', '50', '--quiet', '--save_model_name', 'cplex_covid_PW_lr_278_bsize_2048_rw_7010_es_200_nbneg_50_forREL', '--testrel', 'best_cplex_covidPW_rel.csv']
MCL False
INFO:best_cplex_covid_PW.py:Valid: False
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:NOT MC
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:valid: False
INFO:best_cplex_covid_PW.py:Epoch 198/600	Loss 1111.2845 ± 56.9178
INFO:best_cplex_covid_PW.py:Epoch 199/600	Loss 1114.4552 ± 53.3654
INFO:best_cplex_covid_PW.py:Epoch 200/600	Loss 1113.4602 ± 55.3055
INFO:best_cplex_covid_PW.py:Epoch 201/600	Loss 1114.3085 ± 53.4922
INFO:best_cplex_covid_PW.py:Epoch 202/600	Loss 1111.8832 ± 59.0918
INFO:best_cplex_covid_PW.py:Epoch 203/600	Loss 1113.6835 ± 53.8206
INFO:best_cplex_covid_PW.py:Epoch 204/600	Loss 1104.1920 ± 54.9303
INFO:best_cplex_covid_PW.py:Epoch 205/600	Loss 1114.3327 ± 57.3448
INFO:best_cplex_covid_PW.py:Epoch 206/600	Loss 1111.3697 ± 55.2286
INFO:best_cplex_covid_PW.py:Epoch 207/600	Loss 1107.4301 ± 54.0387
INFO:best_cplex_covid_PW.py:Epoch 208/600	Loss 1105.3488 ± 53.6394
INFO:best_cplex_covid_PW.py:Epoch 209/600	Loss 1113.3953 ± 51.7568
INFO:best_cplex_covid_PW.py:Epoch 210/600	Loss 1107.7114 ± 57.1826
INFO:best_cplex_covid_PW.py:Epoch 211/600	Loss 1106.8863 ± 55.1174
INFO:best_cplex_covid_PW.py:Epoch 212/600	Loss 1105.0292 ± 54.4937
INFO:best_cplex_covid_PW.py:Epoch 213/600	Loss 1109.4100 ± 51.1544
